addr_state,issue_d,gdp,gdp_LSFT
CO,02/15/08,51935.63583,231.7773297
CO,03/15/08,52265.90695,203.700262
CO,04/15/08,52596.17806,183.9147034
CO,05/15/08,52926.44918,172.2556754
CO,06/15/08,52908.17593,157.0677257
CO,07/15/08,52889.90269,136.58156
CO,08/15/08,52871.62944,112.0445076
CO,09/15/08,52269.26953,65.44829396
CO,10/15/08,51666.90963,11.18584929
CO,11/15/08,51064.54972,-44.86675407
CO,12/15/08,50993.93634,-79.30333731
CO,01/15/09,50923.32295,-115.9060973
CO,02/15/09,50852.70957,-155.540157
CO,03/15/09,50522.43251,-207.6309809
CO,04/15/09,50192.15546,-250.1424704
CO,05/15/09,49861.8784,-279.4452407
CO,06/15/09,49946.38439,-278.2357393
CO,07/15/09,50030.89038,-258.5691612
CO,08/15/09,50115.39637,-221.0102269
CO,09/15/09,50206.25092,-165.9143647
CO,10/15/09,50297.10547,-116.3460496
CO,11/15/09,50387.96002,-76.11415165
CO,12/15/09,50500.30163,-48.31917736
CO,01/15/10,50612.64324,-16.43626852
CO,02/15/10,50724.98485,18.52932731
CO,03/15/10,50720.44736,51.7192061
CO,04/15/10,50715.90987,72.7832489
CO,05/15/10,50711.37238,79.93167824
CO,06/15/10,50843.13973,75.86828209
CO,07/15/10,50974.90708,74.00754912
CO,08/15/10,51106.67443,74.08980154
CO,09/15/10,51407.00602,81.4124244
CO,10/15/10,51707.33762,95.03373846
CO,11/15/10,52007.66921,113.8027706
CO,12/15/10,51798.93487,119.7861548
CO,01/15/11,51590.20053,115.4564092
CO,02/15/11,51381.46619,102.5776874
CO,03/15/11,51543.53386,95.138385
CO,04/15/11,51705.60153,88.36993198
CO,05/15/11,51867.6692,81.35691533
CO,06/15/11,52016.11561,72.73486956
CO,07/15/11,52164.56202,66.90571764
CO,08/15/11,52313.00843,63.77781637
CO,09/15/11,52499.58428,64.51653709
CO,10/15/11,52686.16014,75.30397451
CO,11/15/11,52872.73599,96.76516016
CO,12/15/11,52857.22401,122.8628891
