addr_state,issue_d,unemp,unemp_LSFT
CA,10/15/11,0.113,-0.000593407
CA,11/15/11,0.11,-0.000901099
CA,12/15/11,0.11,-0.001005495
CA,01/15/12,0.114,-0.000983516
CA,02/15/12,0.113,-0.000763736
CA,03/15/12,0.11,-0.000725275
CA,04/15/12,0.103,-0.00089011
CA,05/15/12,0.102,-0.00121978
CA,06/15/12,0.106,-0.001423077
CA,07/15/12,0.109,-0.00121978
CA,08/15/12,0.104,-0.001043956
CA,09/15/12,0.096,-0.001148352
CA,10/15/12,0.097,-0.001247253
CA,11/15/12,0.095,-0.00139011
CA,12/15/12,0.096,-0.001516484
CA,01/15/13,0.102,-0.001368132
CA,02/15/13,0.097,-0.001186813
CA,03/15/13,0.094,-0.001049451
CA,04/15/13,0.087,-0.001153846
CA,05/15/13,0.086,-0.001434066
CA,06/15/13,0.092,-0.001461538
CA,07/15/13,0.093,-0.001247253
CA,08/15/13,0.089,-0.000978022
CA,09/15/13,0.085,-0.000923077
CA,10/15/13,0.085,-0.001071429
CA,11/15/13,0.083,-0.001186813
CA,12/15/13,0.08,-0.001401099
CA,01/15/14,0.085,-0.00132967
CA,02/15/14,0.084,-0.001
CA,03/15/14,0.083,-0.000796703
CA,04/15/14,0.073,-0.000961538
CA,05/15/14,0.072,-0.001313187
CA,06/15/14,0.074,-0.001554945
CA,07/15/14,0.079,-0.001335165
CA,08/15/14,0.076,-0.001104396
CA,09/15/14,0.07,-0.001131868
CA,10/15/14,0.069,-0.001241758
CA,11/15/14,0.069,-0.001263736
CA,12/15/14,0.066,-0.001373626
CA,01/15/15,0.072,-0.001307692
CA,02/15/15,0.069,-0.001104396
CA,03/15/15,0.067,-0.000917582
CA,04/15/15,0.062,-0.000840659
CA,05/15/15,0.061,-0.001065934
CA,06/15/15,0.062,-0.001230769
CA,07/15/15,0.065,-0.001164835
CA,08/15/15,0.061,-0.000989011
CA,09/15/15,0.056,-0.000994505
CA,10/15/15,0.058,-0.001054945
CA,11/15/15,0.058,-0.001087912
CA,12/15/15,0.057,-0.001093407
CA,01/15/16,0.058,-0.001115385
CA,02/15/16,0.057,-0.000895604
CA,03/15/16,0.056,-0.000741758
CA,04/15/16,0.052,-0.000725275
CA,05/15/16,0.047,-0.000983516
CA,06/15/16,0.057,-0.000868132
CO,01/15/06,0.051,
CO,02/15/06,0.049,
CO,03/15/06,0.048,
CO,04/15/06,0.044,
CO,05/15/06,0.043,
CO,06/15/06,0.046,
CO,07/15/06,0.044,
CO,08/15/06,0.042,
CO,09/15/06,0.039,
CO,10/15/06,0.036,
CO,11/15/06,0.038,
CO,12/15/06,0.037,
CO,01/15/07,0.043,-0.001010989
CO,02/15/07,0.041,-0.000774725
CO,03/15/07,0.038,-0.000659341
CO,04/15/07,0.034,-0.000653846
CO,05/15/07,0.033,-0.000758242
CO,06/15/07,0.038,-0.000675824
CO,07/15/07,0.037,-0.000483516
CO,08/15/07,0.036,-0.000351648
CO,09/15/07,0.035,-0.000285714
CO,10/15/07,0.035,-0.000296703
CO,11/15/07,0.038,-0.000302198
CO,12/15/07,0.04,-0.000175824
CO,01/15/08,0.046,9.89E-05
CO,02/15/08,0.046,0.000554945
CO,03/15/08,0.046,0.000917582
CO,04/15/08,0.042,0.001005495
CO,05/15/08,0.043,0.000950549
CO,06/15/08,0.049,0.001005495
CO,07/15/08,0.05,0.001197802
CO,08/15/08,0.049,0.001252747
CO,09/15/08,0.049,0.001203297
CO,10/15/08,0.05,0.001076923
CO,11/15/08,0.053,0.000967033
CO,12/15/08,0.056,0.000972527
CO,01/15/09,0.066,0.001285714
CO,02/15/09,0.069,0.001785714
CO,03/15/09,0.071,0.002225275
CO,04/15/09,0.068,0.002428571
CO,05/15/09,0.07,0.002423077
CO,06/15/09,0.077,0.002532967
CO,07/15/09,0.075,0.002620879
CO,08/15/09,0.074,0.002571429
CO,09/15/09,0.073,0.002318681
CO,10/15/09,0.074,0.001967033
CO,11/15/09,0.077,0.001615385
CO,12/15/09,0.08,0.00132967
CO,01/15/10,0.089,0.001307692
CO,02/15/10,0.089,0.001489011
CO,03/15/10,0.091,0.001725275
